Entity,Continent,Latitude,Longitude,Average temperature per year,Hospital beds per 1000 people,Medical doctors per 1000 people,GDP/Capita,Population,Median age,Population aged 65 and over (%),Date,Daily tests,Cases,Deaths
Tunisia,Africa,33.89,9.54,21,2.3,1.29,3317.5,11532127,32,8,2020-03-04,,1.0,
Tunisia,Africa,33.89,9.54,21,2.3,1.29,3317.5,11532127,32,8,2020-03-05,,1.0,
Tunisia,Africa,33.89,9.54,21,2.3,1.29,3317.5,11532127,32,8,2020-03-06,,1.0,
Tunisia,Africa,33.89,9.54,21,2.3,1.29,3317.5,11532127,32,8,2020-03-07,,1.0,
Tunisia,Africa,33.89,9.54,21,2.3,1.29,3317.5,11532127,32,8,2020-03-08,,2.0,
Tunisia,Africa,33.89,9.54,21,2.3,1.29,3317.5,11532127,32,8,2020-03-09,,2.0,
Tunisia,Africa,33.89,9.54,21,2.3,1.29,3317.5,11532127,32,8,2020-03-10,,5.0,
Tunisia,Africa,33.89,9.54,21,2.3,1.29,3317.5,11532127,32,8,2020-03-11,28.0,7.0,
Tunisia,Africa,33.89,9.54,21,2.3,1.29,3317.5,11532127,32,8,2020-03-12,71.0,7.0,
Tunisia,Africa,33.89,9.54,21,2.3,1.29,3317.5,11532127,32,8,2020-03-13,42.0,16.0,
Tunisia,Africa,33.89,9.54,21,2.3,1.29,3317.5,11532127,32,8,2020-03-14,70.0,18.0,
Tunisia,Africa,33.89,9.54,21,2.3,1.29,3317.5,11532127,32,8,2020-03-15,31.0,18.0,
Tunisia,Africa,33.89,9.54,21,2.3,1.29,3317.5,11532127,32,8,2020-03-16,67.0,20.0,
Tunisia,Africa,33.89,9.54,21,2.3,1.29,3317.5,11532127,32,8,2020-03-17,70.0,24.0,
Tunisia,Africa,33.89,9.54,21,2.3,1.29,3317.5,11532127,32,8,2020-03-18,86.0,29.0,
Tunisia,Africa,33.89,9.54,21,2.3,1.29,3317.5,11532127,32,8,2020-03-19,79.0,39.0,1.0
Tunisia,Africa,33.89,9.54,21,2.3,1.29,3317.5,11532127,32,8,2020-03-20,126.0,54.0,1.0
Tunisia,Africa,33.89,9.54,21,2.3,1.29,3317.5,11532127,32,8,2020-03-21,135.0,60.0,1.0
Tunisia,Africa,33.89,9.54,21,2.3,1.29,3317.5,11532127,32,8,2020-03-22,132.0,75.0,3.0
Tunisia,Africa,33.89,9.54,21,2.3,1.29,3317.5,11532127,32,8,2020-03-23,138.0,89.0,3.0
Tunisia,Africa,33.89,9.54,21,2.3,1.29,3317.5,11532127,32,8,2020-03-24,229.0,114.0,4.0
Tunisia,Africa,33.89,9.54,21,2.3,1.29,3317.5,11532127,32,8,2020-03-25,309.0,173.0,5.0
Tunisia,Africa,33.89,9.54,21,2.3,1.29,3317.5,11532127,32,8,2020-03-26,282.0,197.0,6.0
Tunisia,Africa,33.89,9.54,21,2.3,1.29,3317.5,11532127,32,8,2020-03-27,724.0,227.0,6.0
Tunisia,Africa,33.89,9.54,21,2.3,1.29,3317.5,11532127,32,8,2020-03-28,536.0,278.0,8.0
Tunisia,Africa,33.89,9.54,21,2.3,1.29,3317.5,11532127,32,8,2020-03-29,447.0,312.0,8.0
Tunisia,Africa,33.89,9.54,21,2.3,1.29,3317.5,11532127,32,8,2020-03-30,442.0,312.0,8.0
Tunisia,Africa,33.89,9.54,21,2.3,1.29,3317.5,11532127,32,8,2020-03-31,550.0,394.0,10.0
Tunisia,Africa,33.89,9.54,21,2.3,1.29,3317.5,11532127,32,8,2020-04-01,386.0,423.0,12.0
Tunisia,Africa,33.89,9.54,21,2.3,1.29,3317.5,11532127,32,8,2020-04-02,606.0,455.0,14.0
Tunisia,Africa,33.89,9.54,21,2.3,1.29,3317.5,11532127,32,8,2020-04-03,749.0,495.0,18.0
Tunisia,Africa,33.89,9.54,21,2.3,1.29,3317.5,11532127,32,8,2020-04-04,660.0,553.0,18.0
Tunisia,Africa,33.89,9.54,21,2.3,1.29,3317.5,11532127,32,8,2020-04-05,1129.0,574.0,22.0
Tunisia,Africa,33.89,9.54,21,2.3,1.29,3317.5,11532127,32,8,2020-04-06,604.0,596.0,22.0
Tunisia,Africa,33.89,9.54,21,2.3,1.29,3317.5,11532127,32,8,2020-04-07,692.0,623.0,23.0
Tunisia,Africa,33.89,9.54,21,2.3,1.29,3317.5,11532127,32,8,2020-04-08,517.0,628.0,24.0
Tunisia,Africa,33.89,9.54,21,2.3,1.29,3317.5,11532127,32,8,2020-04-09,589.0,643.0,25.0
Tunisia,Africa,33.89,9.54,21,2.3,1.29,3317.5,11532127,32,8,2020-04-10,562.0,671.0,25.0
Tunisia,Africa,33.89,9.54,21,2.3,1.29,3317.5,11532127,32,8,2020-04-11,587.0,685.0,28.0
Tunisia,Africa,33.89,9.54,21,2.3,1.29,3317.5,11532127,32,8,2020-04-12,590.0,707.0,31.0
Tunisia,Africa,33.89,9.54,21,2.3,1.29,3317.5,11532127,32,8,2020-04-13,722.0,726.0,34.0
Tunisia,Africa,33.89,9.54,21,2.3,1.29,3317.5,11532127,32,8,2020-04-14,793.0,747.0,34.0
Tunisia,Africa,33.89,9.54,21,2.3,1.29,3317.5,11532127,32,8,2020-04-15,710.0,780.0,35.0
Tunisia,Africa,33.89,9.54,21,2.3,1.29,3317.5,11532127,32,8,2020-04-16,692.0,822.0,37.0
