Entity,Date,Daily tests,Cases,Deaths
Nigeria,2020-02-28,,1.0,
Nigeria,2020-02-29,,1.0,
Nigeria,2020-03-01,,1.0,
Nigeria,2020-03-02,,1.0,
Nigeria,2020-03-03,,1.0,
Nigeria,2020-03-04,,1.0,
Nigeria,2020-03-05,,1.0,
Nigeria,2020-03-06,,1.0,
Nigeria,2020-03-07,,1.0,
Nigeria,2020-03-08,,1.0,
Nigeria,2020-03-09,,2.0,
Nigeria,2020-03-10,,2.0,
Nigeria,2020-03-11,,2.0,
Nigeria,2020-03-12,,2.0,
Nigeria,2020-03-13,,2.0,
Nigeria,2020-03-14,,2.0,
Nigeria,2020-03-15,,2.0,
Nigeria,2020-03-16,,2.0,
Nigeria,2020-03-17,,3.0,
Nigeria,2020-03-18,,8.0,
Nigeria,2020-03-19,,8.0,
Nigeria,2020-03-20,,12.0,
Nigeria,2020-03-21,,22.0,
Nigeria,2020-03-22,,30.0,
Nigeria,2020-03-23,,40.0,1.0
Nigeria,2020-03-24,,44.0,1.0
Nigeria,2020-03-25,,51.0,1.0
Nigeria,2020-03-26,,65.0,1.0
Nigeria,2020-03-27,,70.0,1.0
Nigeria,2020-03-28,,89.0,1.0
Nigeria,2020-03-29,,111.0,1.0
Nigeria,2020-03-30,,131.0,2.0
Nigeria,2020-03-31,,135.0,2.0
Nigeria,2020-04-01,,174.0,2.0
Nigeria,2020-04-02,,184.0,2.0
Nigeria,2020-04-03,,210.0,4.0
Nigeria,2020-04-04,,214.0,4.0
Nigeria,2020-04-05,,232.0,5.0
Nigeria,2020-04-06,,238.0,5.0
Nigeria,2020-04-07,,254.0,6.0
Nigeria,2020-04-08,,276.0,6.0
Nigeria,2020-04-09,,288.0,7.0
Nigeria,2020-04-10,,305.0,7.0
Nigeria,2020-04-11,,318.0,10.0
Nigeria,2020-04-12,,323.0,10.0
Nigeria,2020-04-13,,343.0,10.0
Nigeria,2020-04-14,,373.0,11.0
Nigeria,2020-04-15,,407.0,12.0
Nigeria,2020-04-16,,442.0,13.0
Nigeria,2020-04-17,504.0,493.0,17.0
Nigeria,2020-04-18,,542.0,19.0
Nigeria,2020-04-19,,627.0,21.0
Nigeria,2020-04-20,,665.0,22.0
Nigeria,2020-04-21,,665.0,22.0
Nigeria,2020-04-22,,873.0,28.0
Nigeria,2020-04-23,,981.0,31.0
Nigeria,2020-04-24,,1095.0,32.0
Nigeria,2020-04-25,,1182.0,35.0
Nigeria,2020-04-26,,1273.0,40.0
Nigeria,2020-04-27,,1337.0,40.0
Nigeria,2020-04-28,,1532.0,44.0
Nigeria,2020-04-29,824.0,1728.0,51.0
Nigeria,2020-04-30,,1932.0,58.0
Nigeria,2020-05-01,,2170.0,68.0
Nigeria,2020-05-02,,2388.0,85.0
Nigeria,2020-05-03,,2558.0,87.0
Nigeria,2020-05-04,1948.0,2802.0,93.0
Nigeria,2020-05-05,976.0,2950.0,98.0
Nigeria,2020-05-06,1696.0,3145.0,103.0
Nigeria,2020-05-07,1284.0,3526.0,107.0
Nigeria,2020-05-08,1343.0,3912.0,117.0
Nigeria,2020-05-09,,4151.0,128.0
Nigeria,2020-05-10,,4399.0,143.0
Nigeria,2020-05-11,,4641.0,150.0
Nigeria,2020-05-12,1340.0,4787.0,158.0
Nigeria,2020-05-13,990.0,4971.0,164.0
Nigeria,2020-05-14,1249.0,5162.0,167.0
Nigeria,2020-05-15,,5450.0,171.0
Nigeria,2020-05-16,,5621.0,176.0
Nigeria,2020-05-17,1028.0,5959.0,182.0
Nigeria,2020-05-18,1375.0,6175.0,191.0
Nigeria,2020-05-19,1554.0,6401.0,192.0
Nigeria,2020-05-20,1332.0,6677.0,200.0
Nigeria,2020-05-21,,7016.0,211.0
Nigeria,2020-05-22,,7261.0,221.0
Nigeria,2020-05-23,1421.0,7526.0,221.0
Nigeria,2020-05-24,1130.0,7839.0,226.0
Nigeria,2020-05-25,1225.0,8068.0,233.0
Nigeria,2020-05-26,1120.0,8344.0,249.0
Nigeria,2020-05-27,1741.0,8733.0,254.0
Nigeria,2020-05-28,1422.0,8915.0,259.0
Nigeria,2020-05-29,8760.0,9302.0,261.0
Nigeria,2020-05-30,2099.0,9855.0,273.0
Nigeria,2020-05-31,,10162.0,287.0
Nigeria,2020-06-01,,10578.0,299.0
Nigeria,2020-06-02,2003.0,10819.0,314.0
Nigeria,2020-06-03,3916.0,11166.0,315.0
Nigeria,2020-06-04,1535.0,11516.0,323.0
Nigeria,2020-06-05,1728.0,11844.0,333.0
Nigeria,2020-06-06,1935.0,12233.0,342.0
Nigeria,2020-06-07,1803.0,12486.0,354.0
Nigeria,2020-06-08,1442.0,12801.0,361.0
Nigeria,2020-06-09,1704.0,13464.0,365.0
Nigeria,2020-06-10,2987.0,13873.0,382.0
Nigeria,2020-06-11,2440.0,14554.0,387.0
Nigeria,2020-06-12,,15181.0,399.0
Nigeria,2020-06-13,,15682.0,407.0
Nigeria,2020-06-14,2460.0,16085.0,420.0
Nigeria,2020-06-15,1399.0,16658.0,424.0
Nigeria,2020-06-16,2079.0,17148.0,455.0
Nigeria,2020-06-17,,17735.0,469.0
Nigeria,2020-06-18,,18480.0,475.0
Nigeria,2020-06-19,2542.0,19147.0,487.0
Nigeria,2020-06-20,2504.0,19808.0,506.0
Nigeria,2020-06-21,2523.0,20244.0,518.0
Nigeria,2020-06-22,2185.0,20919.0,525.0
Nigeria,2020-06-23,1809.0,21371.0,533.0
Nigeria,2020-06-24,2539.0,22020.0,542.0
Nigeria,2020-06-25,2047.0,22614.0,549.0
Nigeria,2020-06-26,,23298.0,554.0
Nigeria,2020-06-27,,24077.0,558.0
Nigeria,2020-06-28,3006.0,24567.0,565.0
Nigeria,2020-06-29,2140.0,25133.0,573.0
Nigeria,2020-06-30,1953.0,25694.0,590.0
Nigeria,2020-07-01,4205.0,26484.0,603.0
Nigeria,2020-07-02,3063.0,27110.0,616.0
Nigeria,2020-07-03,3308.0,27564.0,628.0
Nigeria,2020-07-04,3355.0,28167.0,634.0
Nigeria,2020-07-05,2933.0,28711.0,645.0
Nigeria,2020-07-06,1831.0,29286.0,654.0
Nigeria,2020-07-07,,29789.0,669.0
Nigeria,2020-07-08,,30249.0,684.0
Nigeria,2020-07-09,2302.0,30748.0,689.0
Nigeria,2020-07-10,3725.0,31323.0,709.0
Nigeria,2020-07-11,2609.0,31987.0,724.0
Nigeria,2020-07-12,2983.0,32558.0,740.0
Nigeria,2020-07-13,2046.0,33153.0,744.0
Nigeria,2020-07-14,,33616.0,754.0
Nigeria,2020-07-15,,34259.0,760.0
Nigeria,2020-07-16,3081.0,34854.0,769.0
Nigeria,2020-07-17,4325.0,35454.0,772.0
Nigeria,2020-07-18,3024.0,36107.0,778.0
Nigeria,2020-07-19,2755.0,36663.0,789.0
Nigeria,2020-07-20,,37225.0,801.0
Nigeria,2020-07-21,,37801.0,805.0
Nigeria,2020-07-22,29602.0,38344.0,813.0
Nigeria,2020-07-23,4068.0,38948.0,833.0
Nigeria,2020-07-24,4145.0,39539.0,845.0
Nigeria,2020-07-25,3478.0,39977.0,856.0
Nigeria,2020-07-26,3063.0,40532.0,858.0
Nigeria,2020-07-27,5263.0,41180.0,860.0
Nigeria,2020-07-28,4906.0,41804.0,868.0
Nigeria,2020-07-29,3305.0,42208.0,873.0
Nigeria,2020-07-30,3622.0,42689.0,878.0
Nigeria,2020-07-31,,43151.0,879.0
Nigeria,2020-08-01,,43537.0,883.0
Nigeria,2020-08-02,1441.0,43841.0,888.0
Nigeria,2020-08-03,1601.0,44129.0,896.0
Nigeria,2020-08-04,15088.0,44433.0,910.0
Nigeria,2020-08-05,,44890.0,927.0
Nigeria,2020-08-06,,45244.0,930.0
Nigeria,2020-08-07,3835.0,45687.0,936.0
Nigeria,2020-08-08,3903.0,46140.0,942.0
Nigeria,2020-08-09,2864.0,46577.0,945.0
Nigeria,2020-08-10,2355.0,46867.0,950.0
Nigeria,2020-08-11,,47290.0,956.0
Nigeria,2020-08-12,,47743.0,956.0
Nigeria,2020-08-13,3337.0,48116.0,966.0
Nigeria,2020-08-14,2976.0,48445.0,973.0
Nigeria,2020-08-15,,48770.0,974.0
Nigeria,2020-08-16,,49068.0,975.0
Nigeria,2020-08-17,2036.0,49485.0,977.0
Nigeria,2020-08-18,2571.0,49895.0,981.0
Nigeria,2020-08-19,8135.0,50488.0,985.0
Nigeria,2020-08-20,2913.0,50964.0,992.0
Nigeria,2020-08-21,3660.0,51304.0,996.0
Nigeria,2020-08-22,4173.0,51905.0,997.0
Nigeria,2020-08-23,3946.0,52227.0,1002.0
Nigeria,2020-08-24,1519.0,52548.0,1004.0
Nigeria,2020-08-25,3588.0,52800.0,1007.0
Nigeria,2020-08-26,5216.0,53021.0,1010.0
Nigeria,2020-08-27,3156.0,53317.0,1011.0
Nigeria,2020-08-28,3022.0,53477.0,1011.0
Nigeria,2020-08-29,3780.0,53727.0,1011.0
Nigeria,2020-08-30,3766.0,53865.0,1013.0
Nigeria,2020-08-31,1277.0,54008.0,1013.0
Nigeria,2020-09-01,,54247.0,1023.0
Nigeria,2020-09-02,,54463.0,1027.0
Nigeria,2020-09-03,2188.0,54588.0,1048.0
Nigeria,2020-09-04,,54743.0,1051.0
Nigeria,2020-09-05,,54905.0,1054.0
Nigeria,2020-09-06,3145.0,55005.0,1057.0
Nigeria,2020-09-07,3643.0,55160.0,1061.0
Nigeria,2020-09-08,2617.0,55456.0,1067.0
Nigeria,2020-09-09,3909.0,55632.0,1070.0
Nigeria,2020-09-10,2494.0,55829.0,1075.0
Nigeria,2020-09-11,3025.0,56017.0,1076.0
Nigeria,2020-09-12,1904.0,56177.0,1078.0
Nigeria,2020-09-13,2113.0,56256.0,1082.0
Nigeria,2020-09-14,1827.0,56388.0,1083.0
Nigeria,2020-09-15,1912.0,56478.0,1088.0
Nigeria,2020-09-16,,56604.0,1091.0
Nigeria,2020-09-17,,56735.0,1093.0
Nigeria,2020-09-18,,56956.0,1094.0
Nigeria,2020-09-19,,57145.0,1095.0
Nigeria,2020-09-20,,57242.0,1098.0
Nigeria,2020-09-21,,57437.0,1100.0
Nigeria,2020-09-22,,57613.0,1100.0
Nigeria,2020-09-23,,57724.0,1102.0
Nigeria,2020-09-24,,57849.0,1102.0
Nigeria,2020-09-25,,58062.0,1103.0
Nigeria,2020-09-26,7968.0,58198.0,1106.0
Nigeria,2020-09-27,,58324.0,1108.0
Nigeria,2020-09-28,,58460.0,1111.0
Nigeria,2020-09-29,2549.0,58647.0,1111.0
Nigeria,2020-09-30,,58848.0,1112.0
Nigeria,2020-10-01,,59001.0,1112.0
Nigeria,2020-10-02,,59127.0,1112.0
Nigeria,2020-10-03,,59287.0,1113.0
Nigeria,2020-10-04,11968.0,59345.0,1113.0
Nigeria,2020-10-05,3930.0,59465.0,1113.0
Nigeria,2020-10-06,,59583.0,1113.0
Nigeria,2020-10-07,,59738.0,1113.0
Nigeria,2020-10-08,1949.0,59841.0,1113.0
Nigeria,2020-10-09,,59992.0,1113.0
Nigeria,2020-10-10,,60103.0,1115.0
Nigeria,2020-10-11,1675.0,60266.0,1115.0
Nigeria,2020-10-12,969.0,60430.0,1115.0
Nigeria,2020-10-13,4307.0,60655.0,1116.0
Nigeria,2020-10-14,6623.0,60834.0,1116.0
Nigeria,2020-10-15,2921.0,60982.0,1116.0
Nigeria,2020-10-16,4848.0,61194.0,1119.0
Nigeria,2020-10-17,3479.0,61307.0,1123.0
Nigeria,2020-10-18,2657.0,61440.0,1125.0
Nigeria,2020-10-19,,61558.0,1125.0
Nigeria,2020-10-20,,61630.0,1125.0
Nigeria,2020-10-21,4648.0,61667.0,1125.0
Nigeria,2020-10-22,,61805.0,1127.0
Nigeria,2020-10-23,,61882.0,1129.0
Nigeria,2020-10-24,,61930.0,1129.0
Nigeria,2020-10-25,,61992.0,1130.0
Nigeria,2020-10-26,8543.0,62111.0,1132.0
Nigeria,2020-10-27,2326.0,62224.0,1135.0
Nigeria,2020-10-28,3270.0,62371.0,1139.0
Nigeria,2020-10-29,3008.0,62521.0,1141.0
Nigeria,2020-10-30,,62691.0,1144.0
Nigeria,2020-10-31,,62853.0,1144.0
Nigeria,2020-11-01,2090.0,62964.0,1146.0
Nigeria,2020-11-02,,63036.0,1147.0
Nigeria,2020-11-03,,63173.0,1151.0
Nigeria,2020-11-04,,63328.0,1155.0
Nigeria,2020-11-05,4454.0,63508.0,1155.0
Nigeria,2020-11-06,,63731.0,1155.0
Nigeria,2020-11-07,,63790.0,1155.0
Nigeria,2020-11-08,4796.0,64090.0,1154.0
Nigeria,2020-11-09,1557.0,64184.0,1158.0
Nigeria,2020-11-10,,64336.0,1160.0
Nigeria,2020-11-11,,64516.0,1162.0
Nigeria,2020-11-12,,64728.0,1162.0
Nigeria,2020-11-13,,64884.0,1163.0
Nigeria,2020-11-14,,64996.0,1163.0
Nigeria,2020-11-15,,65148.0,1163.0
Nigeria,2020-11-16,,65305.0,1163.0
Nigeria,2020-11-17,,65457.0,1163.0
Nigeria,2020-11-18,,65693.0,1163.0
Nigeria,2020-11-19,3278.0,65839.0,1165.0
Nigeria,2020-11-20,3334.0,65982.0,1165.0
Nigeria,2020-11-21,11088.0,66228.0,1166.0
Nigeria,2020-11-22,4082.0,66383.0,1167.0
Nigeria,2020-11-23,,66439.0,1168.0
Nigeria,2020-11-24,,66607.0,1169.0
Nigeria,2020-11-25,,66805.0,1169.0
Nigeria,2020-11-26,,66974.0,1169.0
Nigeria,2020-11-27,,67220.0,1171.0
Nigeria,2020-11-28,,67330.0,1171.0
Nigeria,2020-11-29,,67412.0,1173.0
Nigeria,2020-11-30,,67557.0,1173.0
Nigeria,2020-12-01,,67838.0,1176.0
Nigeria,2020-12-02,,67960.0,1177.0
Nigeria,2020-12-03,,68303.0,1179.0
Nigeria,2020-12-04,,68627.0,1179.0
Nigeria,2020-12-05,,68937.0,1180.0
Nigeria,2020-12-06,,69255.0,1180.0
Nigeria,2020-12-07,,69645.0,1181.0
Nigeria,2020-12-08,14292.0,70195.0,1182.0
Nigeria,2020-12-09,4318.0,70669.0,1184.0
Nigeria,2020-12-10,7512.0,71344.0,1190.0
Nigeria,2020-12-11,4012.0,72140.0,1190.0
Nigeria,2020-12-12,4578.0,72757.0,1194.0
Nigeria,2020-12-13,7125.0,73175.0,1197.0
Nigeria,2020-12-14,2736.0,73374.0,1197.0
Nigeria,2020-12-15,,74132.0,1200.0
Nigeria,2020-12-16,,75062.0,1200.0
Nigeria,2020-12-17,4747.0,76207.0,1201.0
Nigeria,2020-12-18,5258.0,77013.0,1212.0
Nigeria,2020-12-19,5255.0,77933.0,1218.0
Nigeria,2020-12-20,,78434.0,1221.0
Nigeria,2020-12-21,,78790.0,1227.0
Nigeria,2020-12-22,10210.0,79789.0,1231.0
Nigeria,2020-12-23,,80922.0,1236.0
Nigeria,2020-12-24,,81963.0,1242.0
Nigeria,2020-12-25,,82747.0,1246.0
Nigeria,2020-12-26,,83576.0,1247.0
Nigeria,2020-12-27,,84414.0,1254.0
Nigeria,2020-12-28,,84811.0,1264.0
Nigeria,2020-12-29,5385.0,85560.0,1267.0
Nigeria,2020-12-30,890.0,86576.0,1278.0
Nigeria,2020-12-31,9446.0,87607.0,1289.0
Nigeria,2021-01-01,,88587.0,1294.0
Nigeria,2021-01-02,,89163.0,1302.0
Nigeria,2021-01-03,2454.0,90080.0,1311.0
Nigeria,2021-01-04,3482.0,91351.0,1318.0
Nigeria,2021-01-05,21135.0,92705.0,1319.0
Nigeria,2021-01-06,,94369.0,1324.0
Nigeria,2021-01-07,,95934.0,1330.0
Nigeria,2021-01-08,6669.0,97478.0,1342.0
Nigeria,2021-01-09,6477.0,99063.0,1350.0
Nigeria,2021-01-10,7499.0,100087.0,1358.0
Nigeria,2021-01-11,8298.0,101331.0,1361.0
Nigeria,2021-01-12,,102601.0,1373.0
Nigeria,2021-01-13,,103999.0,1382.0
Nigeria,2021-01-14,,105478.0,1405.0
Nigeria,2021-01-15,5612.0,107345.0,1413.0
Nigeria,2021-01-16,6376.0,108943.0,1420.0
Nigeria,2021-01-17,6615.0,110387.0,1435.0
Nigeria,2021-01-18,18096.0,112004.0,1449.0
Nigeria,2021-01-19,19632.0,113305.0,1464.0
Nigeria,2021-01-20,6892.0,114691.0,1478.0
Nigeria,2021-01-21,4355.0,116655.0,1485.0
Nigeria,2021-01-22,22066.0,118138.0,1490.0
Nigeria,2021-01-23,16051.0,120602.0,1502.0
Nigeria,2021-01-24,17304.0,121566.0,1504.0
Nigeria,2021-01-25,11989.0,122996.0,1507.0
Nigeria,2021-01-26,,124299.0,1522.0
Nigeria,2021-01-27,,126160.0,1543.0
Nigeria,2021-01-28,,127024.0,1547.0
Nigeria,2021-01-29,,128674.0,1577.0
Nigeria,2021-01-30,,130557.0,1578.0
Nigeria,2021-01-31,,131242.0,1586.0
Nigeria,2021-02-01,,131918.0,1607.0
Nigeria,2021-02-02,,133552.0,1613.0
Nigeria,2021-02-03,,134690.0,1618.0
Nigeria,2021-02-04,,136030.0,1632.0
